Entity,Code,Year,region,Total_Meat_kg_per_capita,"Meat, poultry | 00002734 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, beef and buffalo | 00002731 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, sheep and goat | 00002732 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, pig | 00002733 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, Other | 00002735 || Food available for consumption | 0645pc || kilograms per year per capita"
Saudi Arabia,SAU,2022,Asia,66.2538153,51.56595,6.6649866,5.7144623,,2.3084164
Armenia,ARM,2022,Asia,57.417554523999996,17.80726,24.862602,3.744833,10.964253,0.038606524
Azerbaijan,AZE,2022,Asia,40.747102059999996,16.157986,15.121702,8.652472,0.81494206,0.0
Russia,RUS,2022,Europe,81.22363999999999,34.026253,12.435537,1.4413693,29.334349,3.9861317
Poland,POL,2022,Europe,84.738404426,30.661991,0.25958338,0.031150006,53.62993,0.15575004
South Korea,KOR,2022,Asia,83.45368706000001,21.82404,19.55258,0.55035406,41.36661,0.160103
Bahrain,BHR,2022,Asia,84.57549202999999,44.865623,14.871999,22.456814,0.84489083,1.5361652
Spain,ESP,2022,Europe,104.1592997,31.918982,12.847142,1.8594549,56.18139,1.3523308
Albania,ALB,2022,Europe,53.47766824,22.677748,15.269281,8.916296,6.342934,0.27140924
Turkey,TUR,2022,Asia,45.85728921,20.74263,18.193914,6.9011397,0.0,0.01960551
Qatar,QAT,2022,Asia,82.74273641,55.124554,17.200798,9.848994,0.22362901,0.3447614
Sri Lanka,LKA,2022,Asia,11.386984250000001,9.971977,1.2142292,0.13385203,0.06692602,0.0
Portugal,PRT,2022,Europe,97.038993,32.359478,22.125128,2.257867,39.67536,0.62116
Romania,ROU,2022,Europe,69.63462683,22.144817,4.677182,3.1694062,39.468853,0.17436863
Hungary,HUN,2022,Europe,78.88002812,24.38241,5.557831,0.11321507,48.45605,0.37052205
Cambodia,KHM,2022,Asia,12.097022602,1.7838478,4.279285,0.009747802,6.024142,0.0
Norway,NOR,2022,Europe,71.94301700000001,21.421572,18.623123,4.501418,25.683975,1.712929
Kyrgyzstan,KGZ,2022,Asia,36.3667915,7.197098,14.746901,9.380058,1.3440937,3.6986408
Estonia,EST,2022,Europe,67.69591684,20.882402,8.653526,0.39289564,37.38402,0.3830732
Kuwait,KWT,2022,Asia,76.64395334,48.618683,11.03152,13.896367,0.31624934,2.781134
Tajikistan,TJK,2022,Asia,35.08143062,2.688045,24.3488,7.526526,0.34211484,0.17594478
Kazakhstan,KAZ,2022,Asia,67.959816,21.126701,24.041063,8.239608,7.755494,6.79695
Finland,FIN,2022,Europe,71.25344435999999,23.548855,17.251253,0.44769683,29.209734,0.79590553
Jordan,JOR,2022,Asia,37.999851055,26.67008,6.837968,4.3915396,0.010026345,0.09023711
Japan,JPN,2022,Asia,59.914467935000005,27.666561,9.400681,0.14874497,22.579485,0.118995965
France,FRA,2022,Europe,82.4929095,23.9873,22.64167,2.3792284,32.889904,0.5948071
Italy,ITA,2022,Europe,72.85231446,20.111874,16.061771,0.85161066,34.61896,1.2080988
Israel,ISR,2022,Asia,112.384451032,70.32592,35.843082,5.0637045,1.1418157,0.009928832
Georgia,GEO,2022,Asia,39.696338966,18.93544,7.1834292,1.3222246,12.136837,0.118408166
Ireland,IRL,2022,Europe,89.12884330000001,30.65002,23.22835,4.1482706,28.615206,2.4869967
Uzbekistan,UZB,2022,Asia,42.02226789,6.323162,30.476055,4.757238,0.17839643,0.28741646
Iraq,IRQ,2022,Asia,19.078045640000003,14.219769,3.1522508,1.2816844,0.3550612,0.06928024
Iran,IRN,2022,Asia,31.572853906000002,24.31268,3.867477,3.3036757,0.0,0.089021206
Germany,DEU,2022,Europe,70.70250693999999,16.36935,13.930308,0.74361074,38.628098,1.0311402
Indonesia,IDN,2022,Asia,18.931237073,14.623294,2.9543004,0.41498533,0.92877674,0.009880603
United Kingdom,GBR,2022,Europe,83.2533369,35.15097,17.129908,4.059689,25.9127,1.0000699
Greece,GRC,2022,Europe,78.7118832,26.16083,14.760972,8.537427,27.31777,1.9348842
India,IND,2022,Asia,6.591626950000001,3.4698007,2.1872668,0.57664305,0.2187267,0.1391897
Iceland,ISL,2022,Europe,91.6067065,30.140106,15.687759,14.5994215,20.276428,10.902992
Hong Kong,HKG,2022,Asia,123.72999829999999,45.27906,23.141071,0.5216019,52.73195,2.0563154
United Arab Emirates,ARE,2022,Asia,76.69395186000001,50.929577,12.840707,9.052098,0.60838956,3.2631803
Turkmenistan,TKM,2022,Asia,52.459073284,9.952815,22.369373,18.091177,0.062260684,1.9834476
East Timor,TLS,2022,Asia,29.172112499999997,5.3191595,1.5379523,0.4897937,10.079954,11.745253
Denmark,DNK,2022,Europe,66.7962321,17.767818,21.85352,0.717489,25.65023,0.8071751
Bosnia and Herzegovina,BIH,2022,Europe,49.35901510000001,22.015816,13.389087,0.37332043,13.177202,0.40358967
North Macedonia,MKD,2022,Europe,48.13629583,20.490067,9.841147,0.910164,16.473967,0.42095083
Netherlands,NLD,2022,Europe,63.8428441,13.518045,16.411966,0.9515606,30.498987,2.4622855
Bulgaria,BGR,2022,Europe,60.449006499999996,20.735878,3.5867999,1.4009385,33.98021,0.7451801
Vietnam,VNM,2022,Asia,52.74753805,14.725969,5.2304277,0.19700293,32.298634,0.29550442
Nepal,NPL,2022,Asia,17.2602141,6.9184775,6.538116,2.590574,1.2130466,0.0
Myanmar,MMR,2022,Asia,20.237844969999998,12.185037,2.6809096,0.22172937,5.150169,0.0
Ukraine,UKR,2022,Europe,46.38623398,22.119541,5.996552,0.2611402,17.651142,0.35785878
Montenegro,MNE,2022,Europe,90.22521255000001,19.610184,14.294416,1.7141055,54.555492,0.05101505
Mongolia,MNG,2022,Asia,132.2625589,7.1259995,30.31059,68.70065,2.7299604,23.395359
Moldova,MDA,2022,Europe,35.429355002499996,22.74083,1.0216497,0.0091218725,11.402341,0.25541243
China,CHN,2022,Asia,70.0047514,17.148512,8.043993,3.861917,40.179947,0.7703824
